pat_id,birth_date,death_date,ssn,drivers,passport,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,prior_opioid_abuse_diag
0a549323-9e08-4843-a61b-d9e0bbf6af72,2017-10-01,,999-52-5697,,,,Gustavo235,Yáñez198,,,,black,west_indian,M,St. Paul,359 Kshlerin Well Stillwater Minnesota 55082 US,0
e69c498f-5d81-4f75-b6d7-9cec430944d8,2016-02-11,,999-63-6817,,,,Ok556,Bruen238,,,,white,italian,F,Medford,802 Purdy Dale Bernadotteship Minnesota  US,1
c5ff6eae-8881-483a-81a3-7e8a6f5995ea,1966-03-29,,999-12-4462,S99992290,X53627396X,Mr.,Gilberto712,Willms744,,,M,white,french,M,Richfield,334 Ward Byway Albanyship Minnesota  US,1
9e78b0cf-9166-4ad7-aca8-d6e9d337ee5a,1961-03-01,,999-95-8614,S99994151,X30227522X,Mrs.,Dion244,Aufderhar910,,Johnston597,M,white,english,F,Brooklyn Park,900 Feeney Terrace Apt 32 Maplewood Minnesota 55106 US,0
d1a2a94d-19b2-4f3e-a731-40e1972c2c8f,1961-04-29,,999-85-8755,S99993315,X20660988X,Mr.,Raleigh478,Hilll811,,,M,asian,chinese,M,Ham Lake,167 Jaskolski Alley St. Paul Minnesota 55101 US,0
f6a6c8e6-0861-45cd-aed7-8671bf5db81f,1937-03-17,2009-09-04,999-99-6440,S99954276,X9914568X,Mr.,Kendall673,Reilly981,,,S,white,french,M,Cambridgeship,673 Labadie Port Chisholm Minnesota 55719 US,0
4629ad6c-b3e5-4c9f-a0d9-a34d3ba41a6d,1960-09-28,,999-93-9413,S99940788,X64172639X,Mr.,Dirk334,Hane680,,,S,white,american,M,Afton,156 Raynor Street Brooklyn Park Minnesota 55428 US,0
0817e12e-41d7-4d51-9d88-10fbf8bf974b,1986-09-05,,999-66-5717,S99957584,X24616828X,Mrs.,Lavonia8,Kuhn96,,O'Kon634,M,white,italian,F,Baxter,887 Stoltenberg Green Suite 57 Richfield Minnesota 55423 US,0
0dee428b-14ef-4797-9072-93b894ca5352,1999-04-18,,999-69-8543,S99928177,,Ms.,Dorla228,Schmeler639,,,,white,portuguese,F,Columbia Heights,389 Connelly Arcade Suite 67 Brockwayship Minnesota  US,1
267982d6-2af7-4f04-8ff8-57f98c20b693,1999-01-18,,999-19-6277,S99922574,,Ms.,Shenita872,Goyette777,,,,white,american,F,St. Cloud,776 Schaefer Lock Rochester Minnesota 55901 US,0
a8629dc7-09a9-4d8a-a33b-1efeac503856,2011-03-23,,999-89-5378,,,,Jessica140,Kunde533,,,,white,french,F,Minneapolis,522 Hodkiewicz Forge Suite 97 Anoka Minnesota 55303 US,1
c2571459-97cb-48d6-b01f-831eac0b912f,1993-12-23,,999-73-6588,S99980735,X11859487X,Mr.,Leon728,Langosh790,,,,white,french,M,Minneapolis,740 Tremblay Viaduct Duluth Minnesota 55802 US,0
20d7a5ed-0d5b-4862-940c-63bec49148e2,1982-11-23,,999-24-9155,S99917530,X57983864X,Mr.,Nickolas58,Crist667,,,M,asian,chinese,M,Owatonna,227 Davis Estate Chisholm Minnesota 55719 US,1
b91b9403-a99a-48f0-ad21-48e67b5ca98c,2014-04-18,,999-47-2655,,,,Edna186,Stracke611,,,,white,french,F,St. Maryship,1014 Kshlerin Bypass Suite 92 Otsego Minnesota 55301 US,1
55f7bef3-f682-43aa-8f3b-0a9e69e85259,1955-01-26,1994-12-07,999-63-6002,S99915590,X28490682X,Mr.,Steven797,Dibbert990,,,M,white,italian,M,Big Lakeship,634 Marks Alley Apt 84 Plymouth Minnesota 55441 US,0
f4020775-2a5a-411f-a513-046381305b82,2004-02-23,,999-42-1781,,,,Isidra572,Kuhn96,,,,white,italian,F,Coon Rapids,771 Moen Orchard St. Cloud Minnesota 55320 US,0
37ee4ad6-0051-4266-88b9-f37314dfde51,2004-05-03,,999-53-4146,,,,Shenna471,Douglas31,,,,white,english,F,Rosemount,466 Kshlerin Trailer Baldwinship Minnesota  US,1
db8515fd-95d4-4016-ad60-eef3056cfe73,1970-11-08,,999-76-1981,S99952640,X42452321X,Ms.,Tana168,Konopelski743,,,S,white,portuguese,F,Edina,882 Watsica Walk Unit 27 Falunship Minnesota  US,0
5f0315c5-53ac-4280-a29d-712d55192989,1953-02-16,,999-28-1159,S99967204,X21124110X,Mrs.,Marg761,Lockman863,,Koch169,M,white,irish,F,Eden Prairie,693 Mann Gateway Minneapolis Minnesota 55401 US,0
a065dd97-47a2-492b-a1ef-08b65b66561c,2001-01-06,,999-57-7042,S99965468,,,Teena223,Schroeder447,,,,white,polish,F,Elk River,1032 Grant Meadow Apt 99 Breezy Point Minnesota 56442 US,0
ef3bdea6-bbe4-4622-8041-1eca04415a33,1992-09-04,,999-28-7048,S99970365,X3363180X,Ms.,Guillermina633,Canales95,,,,hispanic,central_american,F,Lakeville,404 Mills Ranch Suite 46 Plymouth Minnesota 55441 US,0
4d6f1457-cdc0-4c6d-8864-9ee982924d0f,1959-09-11,,999-86-3971,S99939990,X40971834X,Mrs.,Elna874,Wisoky380,,Ledner144,M,white,irish,F,Minnetonka,334 Wintheiser Promenade Harris Minnesota 55032 US,0
e287e983-7218-4f41-bc98-4224863460a2,1983-12-26,,999-56-3091,S99930640,X11885845X,Mr.,Lucius907,Heaney114,,,S,white,english,M,Bloomington,751 Paucek Way Apt 57 Minneapolis Minnesota 55401 US,0
519c93d9-1773-4d0c-be57-98cd0c19fe61,1954-12-02,,999-79-6951,S99968196,X27008791X,Mr.,Perry780,Nitzsche158,,,M,white,irish,M,Richfield,771 Huels Bridge Minneapolis Minnesota 55401 US,1
2c4ce9f6-62af-49ca-a28c-06c71ed712f7,1962-06-27,2017-07-12,999-52-6736,S99914343,X86211861X,Mrs.,Toshia520,Ortiz186,,Ward668,M,white,scottish,F,Easton,647 Blanda Station Eagan Minnesota 55120 US,0
2f9bd3ab-4131-46f9-8bfb-b8ca365a85b4,1943-06-03,1973-10-07,999-76-4305,S99943268,X1199297X,Mr.,Elmo857,Purdy2,,,M,white,scottish,M,Hugo,104 Stokes Mews Apt 77 Cass Lake Minnesota 56633 US,1
10984683-bb23-40e5-8998-fb8cd91e28ba,1984-03-17,,999-31-4417,S99971218,X42084353X,Mrs.,Cyrstal592,Cassin499,,Johns824,M,white,german,F,Alexandria,804 Runolfsson Lane Suite 93 Laketownship Minnesota  US,1
5ec9d483-ae73-46f4-b6c0-a39b1e7b1829,2003-11-25,,999-39-6983,,,,Colton403,Auer97,,,,black,african,M,Maple Grove,307 Fadel Mill Eagan Minnesota 55120 US,0
d3af3518-f1d1-4b9c-b0ea-4d09aa7e4638,1998-07-12,,999-21-4891,S99962177,,Mr.,Lucio648,Harvey63,,,,white,italian,M,St. Cloud,968 Morissette Byway Apt 8 Duluth Minnesota 55802 US,1
7830c3cf-2bde-4426-9c08-969df61cfb63,2016-07-28,,999-63-3359,,,,Misha8,Hyatt152,,,,white,english,F,Lakeville,647 Collier Gate Proctor Minnesota 55807 US,0
6c9fa7dc-cf80-41da-9308-e68365697b43,1948-09-21,2018-04-03,999-20-2391,S99995561,X77777718X,Mr.,Pablo44,Gusikowski974,,,M,white,irish,M,Clevelandship,161 Bogan Mill Suite 22 Birch Lakeship Minnesota  US,0
6250661e-b09d-457a-b5e5-2045e8d0e1f6,1956-03-02,2005-01-07,999-36-8173,S99923527,X21082997X,Ms.,Lacy523,Schaden604,,,S,white,irish,F,Worthington,511 Carroll Grove Suite 27 Rochester Minnesota 55901 US,0
b2ed00c7-80d5-4754-8850-31034f892312,1973-05-14,,999-91-1173,S99922538,X49399791X,Mr.,Daron260,Pollich983,,,M,white,irish,M,Minneapolis,414 Cormier Ranch South Harborship Minnesota  US,0
12aff09f-2901-49f7-9ddb-597c17c4a81b,1968-06-09,,999-64-9378,S99948540,X6902947X,Mr.,José Luis472,Bernal586,,,M,black,dominican,M,Apple Valley,980 Walker Tunnel Roseville Minnesota 55112 US,0
4d2af20d-6afd-4ea3-a68f-36e0c971af45,1961-04-13,,999-94-6542,S99928291,X65653400X,Mrs.,Jaclyn627,Schaefer657,,Dach178,M,native,american_indian,F,Shakopee,754 Hodkiewicz Gate Cass Lake Minnesota 56633 US,0
082e576a-2887-42ea-bdab-a5f009e961f3,2004-05-08,,999-22-4287,,,,Orville751,Hermiston71,,,,white,german,M,Prior Lake,401 Sauer Camp Kilkennyship Minnesota  US,1
0360e97a-20ef-43c1-8dde-da5cd7930cf0,1984-09-25,,999-70-3367,S99922018,X87061277X,Mr.,Gonzalo160,Nieto461,,,M,black,west_indian,M,Ham Lake,873 Crooks Village Apt 23 Rochester Minnesota 55901 US,0
cc3ab41d-1ed8-4c3b-b17c-4446f1be2853,1999-09-22,2000-12-13,999-38-4189,,,,Allene83,D'Amore443,,,,white,irish,F,St. Paul,920 Larson Run Suite 42 Eagan Minnesota 55120 US,1
6fe8d5f3-3de2-4cd2-bd58-a727b7223757,1963-03-08,,999-75-8555,S99926895,X8810016X,Mr.,Clair921,Baumbach677,,,M,native,american_indian,M,St. Paul,576 Jaskolski Dam Walker Minnesota 56433 US,1
b7cee0ef-74d5-4dae-b32f-506723525396,1971-05-18,,999-67-7246,S99970816,X79481714X,Mrs.,Jerrie417,Goldner995,,Hyatt152,M,white,french,F,Buffalo,591 Predovic Plaza Rochester Minnesota 55901 US,0
cd3b522b-76aa-4d37-bf59-22bcfd3f9f03,2009-09-17,,999-35-5317,,,,Thomasine260,Johnston597,,,,white,italian,F,New Hope,945 Donnelly Park Suite 86 Spring Lakeship Minnesota  US,0
0517fdb9-cbc7-4597-964f-03974da284b9,1959-11-05,,999-19-4865,S99912029,X8845405X,Mrs.,Drew592,Mann644,,Collins926,M,white,german,F,Moorhead,470 Welch Underpass Suite 17 South Harborship Minnesota  US,0
2a248682-4a56-486b-a586-9e5509f7bcbe,1983-06-29,,999-87-3013,S99916052,X68980210X,Mrs.,Kristi306,Mertz280,,Harber290,M,white,portuguese,F,Brooklyn Center,462 Leannon Ranch Apple Valley Minnesota 55068 US,0
